MonthYear,Price(USD),Open(USD),High(USD),Low(USD),Volume(USD),Change %
Jun 13,1223.80,1389.10,1422.70,1183.20,12130.0,-12.12
May 13,1392.60,1475.80,1487.10,1342.90,53450.0,-5.41
Apr 13,1472.20,1596.80,1602.60,1323.00,14300.0,-7.69
Mar 13,1594.80,1579.60,1613.10,1561.80,58370.0,1.08
Feb 13,1577.70,1663.90,1683.40,1554.50,10810.0,-4.99
Jan 13,1660.60,1672.80,1694.70,1625.70,51880.0,-0.85
Dec 12,1674.80,1714.90,1722.30,1635.80,6820.0,-2.11
Nov 12,1710.90,1722.30,1750.50,1674.30,69650.0,-0.38
Oct 12,1717.50,1766.00,1794.80,1698.60,2630.0,-3.03
Sep 12,1771.10,1689.10,1785.30,1687.70,10330.0,5.13
Aug 12,1684.60,1613.40,1690.00,1583.10,11420.0,4.6
Jul 12,1610.50,1597.10,1627.50,1557.20,59610.0,0.44
Jun 12,1603.50,1560.00,1639.70,1545.50,10990.0,2.62
May 12,1562.60,1665.00,1670.50,1528.50,86460.0,-6.06
Apr 12,1663.40,1670.40,1682.80,1613.00,9550.0,-0.35
Mar 12,1669.30,1698.60,1724.60,1633.80,61450.0,-2.37
Feb 12,1709.90,1738.20,1790.40,1669.00,8890.0,-1.61
Jan 12,1737.80,1568.90,1747.70,1566.00,62700.0,10.98
Dec 11,1565.80,1747.00,1762.90,1525.00,10600.0,-10.3
Nov 11,1745.50,1706.70,1797.00,1674.40,81480.0,1.24
Oct 11,1724.20,1627.80,1752.00,1596.60,2240.0,6.41
Sep 11,1620.40,1825.80,1911.60,1562.40,10610.0,-11.38
Aug 11,1828.50,1623.00,1909.30,1607.00,24850.0,12.3
Jul 11,1628.30,1502.20,1634.90,1480.00,77740.0,8.39
Jun 11,1502.30,1535.70,1558.50,1490.70,14690.0,-2.19
May 11,1535.90,1572.90,1576.60,1471.00,84310.0,-1.29
Apr 11,1556.00,1433.40,1568.70,1413.00,15550.0,8.14
Mar 11,1438.90,1415.30,1446.90,1385.50,58550.0,2.1
Feb 11,1409.30,1333.10,1415.70,1324.90,13730.0,5.66
Jan 11,1333.80,1415.60,1423.90,1307.70,88700.0,-6.14
Dec 10,1421.10,1386.80,1431.10,1362.50,16140.0,2.61
Nov 10,1385.00,1360.30,1423.20,1327.50,106910.0,2.06
Oct 10,1357.10,1309.00,1383.90,1309.00,3170.0,3.77
Sep 10,1307.80,1252.30,1315.20,1239.00,8090.0,4.77
Aug 10,1248.30,1181.80,1249.40,1174.70,8710.0,5.64
Jul 10,1181.70,1241.70,1242.40,1158.70,60700.0,-5.12
Jun 10,1245.50,1217.00,1264.80,1196.90,16400.0,2.75
May 10,1212.20,1178.60,1246.50,1159.20,124170.0,2.72
Apr 10,1180.10,1112.90,1181.30,1111.30,8600.0,6.0
Mar 10,1113.30,1119.30,1145.00,1085.50,63870.0,-0.45
Feb 10,1118.30,1081.00,1127.40,1045.20,17640.0,3.26
Jan 10,1083.00,1097.10,1161.20,1073.20,113970.0,-1.11
Dec 09,1095.20,1181.00,1226.40,1075.00,23250.0,-7.27
Nov 09,1181.10,1043.50,1195.00,1043.50,127740.0,13.6
Oct 09,1039.70,1007.40,1070.20,986.80,3430.0,3.14
Sep 09,1008.00,954.20,1019.80,948.70,8650.0,5.92
Aug 09,951.70,952.60,971.10,931.50,7370.0,-0.21
Jul 09,953.70,929.30,958.10,905.60,48330.0,2.87
Jun 09,927.10,978.80,990.30,917.30,12650.0,-5.28
May 09,978.80,884.00,980.40,881.50,83230.0,9.89
Apr 09,890.70,918.60,932.50,865.00,17100.0,-3.46
Mar 09,922.60,945.00,960.80,885.00,71420.0,-2.01
Feb 09,941.50,929.00,1004.90,889.80,13410.0,1.53
Jan 09,927.30,881.50,930.30,805.60,78170.0,4.95
Dec 08,883.60,817.20,882.90,740.00,9300.0,8.26
Nov 08,816.20,728.80,824.00,707.00,60050.0,13.87
Oct 08,716.80,878.00,925.70,681.00,3280.0,-18.01
Sep 08,874.20,829.90,919.00,739.00,5170.0,5.41
Aug 08,829.30,904.90,916.10,780.90,8860.0,-9.26
Jul 08,913.90,943.60,986.20,893.30,103250.0,-1.33
Jun 08,926.20,887.30,933.70,858.20,9300.0,4.38
May 08,887.30,855.00,924.70,849.60,71910.0,2.84
Apr 08,862.80,915.00,948.70,863.00,13220.0,-5.83
Mar 08,916.20,984.20,1014.60,912.00,70800.0,-5.75
Feb 08,972.10,924.80,973.10,884.70,8000.0,5.35
Jan 08,922.70,848.70,936.30,846.40,74150.0,10.52
Dec 07,834.90,783.90,843.20,777.00,7590.0,6.74
Nov 07,782.20,785.30,841.30,777.60,73990.0,-1.24
Oct 07,792.00,745.10,795.40,724.30,2760.0,6.62
Sep 07,742.80,678.60,745.70,678.60,14450.0,10.37
Aug 07,673.00,663.20,676.20,642.90,8320.0,0.91
Jul 07,666.90,656.80,668.30,655.70,42410.0,2.9
Jun 07,648.10,661.50,674.00,640.00,4470.0,-1.95
May 07,661.00,673.70,673.70,651.50,58010.0,-2.87
Apr 07,680.50,665.50,692.50,656.10,4500.0,2.64
Mar 07,663.00,673.00,673.00,640.00,42720.0,-0.96
Feb 07,669.40,652.90,687.70,642.00,3950.0,2.67
Jan 07,652.00,640.40,655.50,607.00,30450.0,2.64
Dec 06,635.20,645.70,649.50,612.00,3800.0,-1.81
Nov 06,646.90,612.50,648.00,612.50,31480.0,7.08
Oct 06,604.10,598.90,608.90,560.50,6530.0,0.92
Sep 06,598.60,591.00,606.20,584.00,9510.0,-4.36
Aug 06,625.90,635.40,656.00,609.00,5030.0,-1.31
Jul 06,634.20,624.00,677.00,624.00,31590.0,3.37
Jun 06,613.50,642.80,645.10,555.00,6220.0,-4.51
May 06,642.50,658.00,723.00,638.00,56560.0,-1.43
Apr 06,651.80,582.00,642.00,582.00,8189.999999999999,12.03
Mar 06,581.80,562.50,589.60,540.00,28940.0,3.6
Feb 06,561.60,571.60,575.30,535.50,10300.0,-1.61
Jan 06,570.80,518.60,572.70,518.60,42030.0,10.38
Dec 05,517.10,494.20,538.50,490.10,12280.0,4.55
Nov 05,494.60,463.00,502.30,455.30,48420.0,6.34
Oct 05,465.10,467.80,478.50,460.50,2170.0,-0.83
Sep 05,469.00,438.50,474.00,438.50,11750.0,8.11
Aug 05,433.80,430.00,449.50,429.10,3000.0,0.91
Jul 05,429.90,423.50,430.50,423.50,44500.0,-1.38
Jun 05,435.90,416.40,442.50,414.00,6990.0,4.71
May 05,416.30,416.50,420.20,413.20,58880.0,-4.3
Apr 05,435.00,428.30,438.20,422.70,2580.0,1.47
Mar 05,428.70,433.40,433.40,425.50,31840.0,-1.79
Feb 05,436.50,422.20,436.00,410.10,9070.0,3.49
Jan 05,421.80,431.00,431.00,418.70,48270.0,-3.59
Dec 04,437.50,451.60,456.50,432.60,12860.0,-3.06
Nov 04,451.30,434.00,454.80,434.00,70970.0,5.32
Oct 04,428.50,419.10,430.00,410.30,2310.0,2.34
Sep 04,418.70,407.30,418.80,396.80,6640.0,2.02
Aug 04,410.40,394.00,412.80,388.80,6210.0,4.96
Jul 04,391.00,397.80,397.80,385.00,47090.0,-0.41
Jun 04,392.60,395.10,405.00,383.00,6550.0,-0.36
May 04,394.00,392.00,396.30,377.00,9870.0,1.81
Apr 04,387.00,427.20,432.00,380.00,6610.0,-9.43
Mar 04,427.30,397.50,428.00,391.10,41430.0,7.8
Feb 04,396.40,403.00,416.00,392.50,5820.0,-1.44
Jan 04,402.20,422.50,428.20,396.50,56010.0,-3.25
Dec 03,415.70,397.20,415.80,397.00,10490.0,4.76
Nov 03,396.80,382.80,402.00,382.80,12770.0,3.2
Oct 03,384.50,385.50,394.00,368.00,3780.0,-0.23
Sep 03,385.40,375.00,388.70,375.00,8830.0,2.58
Aug 03,375.70,354.10,375.00,346.00,5880.0,6.13
Jul 03,354.00,344.00,362.00,344.00,37360.0,2.31
Jun 03,346.00,362.40,370.00,343.40,10490.0,-5.08
May 03,364.50,339.00,370.00,339.00,37940.0,7.49
Apr 03,339.10,336.00,338.40,319.30,5200.0,0.95
Mar 03,335.90,342.70,343.00,328.40,30920.0,-4.08
Feb 03,350.20,368.00,388.90,342.00,7920.0,-4.91
Jan 03,368.30,345.20,372.00,345.20,7480.0,5.96
Dec 02,347.60,318.10,350.50,315.50,8250.0,9.72
Nov 02,316.80,321.50,321.50,316.50,15460.0,-0.38
Oct 02,318.00,322.00,322.90,309.80,3930.0,-1.82
Sep 02,323.90,312.50,324.20,312.50,4390.0,3.68
Aug 02,312.40,303.20,318.00,298.00,4220.0,3.03
Jul 02,303.20,315.00,320.50,300.80,27560.0,-3.29
Jun 02,313.50,326.60,330.30,316.00,6890.0,-3.98
