"Date","Price","Open","High","Low","Change %"
"Nov 16","4.4660","4.2040","4.4660","4.1770","6.46%"
"Oct 16","4.1950","4.1360","4.2260","4.1050","1.44%"
"Sep 16","4.1355","4.0545","4.1615","4.0365","2.10%"
"Aug 16","4.0505","4.0725","4.0725","3.9835","-0.49%"
"Jul 16","4.0705","4.0185","4.0895","3.9385","1.07%"
"Jun 16","4.0275","4.1255","4.1745","3.9725","-2.40%"
"May 16","4.1265","3.9115","4.1385","3.8995","5.63%"
"Apr 16","3.9065","3.8985","3.9535","3.8465","0.06%"
"Mar 16","3.9040","4.1990","4.2000","3.8940","-7.16%"
"Feb 16","4.2050","4.1500","4.2540","4.1020","1.20%"
"Jan 16","4.1550","4.2900","4.4300","4.1210","-3.23%"
"Dec 15","4.2935","4.2635","4.3415","4.1855","0.80%"
"Nov 15","4.2595","4.2970","4.3975","4.1935","-0.85%"
"Oct 15","4.2960","4.3990","4.4535","4.0890","-2.31%"
"Sep 15","4.3975","4.1955","4.4805","4.1415","4.83%"
"Aug 15","4.1950","3.8230","4.2980","3.8190","9.85%"
"Jul 15","3.8190","3.7734","3.8294","3.7304","1.15%"
"Jun 15","3.7755","3.6680","3.7890","3.6625","3.00%"
"May 15","3.6655","3.5555","3.6675","3.5555","2.89%"
"Apr 15","3.5625","3.7075","3.7235","3.5400","-3.81%"
"Mar 15","3.7035","3.6130","3.7306","3.6130","2.56%"
"Feb 15","3.6110","3.6290","3.6455","3.5390","-0.54%"
"Jan 15","3.6305","3.4975","3.6365","3.4970","3.83%"
"Dec 14","3.4965","3.3825","3.5055","3.3825","3.37%"
"Nov 14","3.3825","3.2915","3.3845","3.2915","2.80%"
"Oct 14","3.2905","3.2830","3.2950","3.2320","0.32%"
"Sep 14","3.2800","3.1510","3.2820","3.1510","4.08%"
"Aug 14","3.1515","3.1940","3.2200","3.1425","-1.42%"
"Jul 14","3.1970","3.2070","3.2115","3.1645","-0.44%"
"Jun 14","3.2110","3.2165","3.2410","3.1945","-0.16%"
"May 14","3.2160","3.2670","3.2690","3.2025","-1.43%"
"Apr 14","3.2625","3.2625","3.2865","3.2170","-0.06%"
"Mar 14","3.2645","3.2755","3.3120","3.2495","-0.40%"
"Feb 14","3.2775","3.3470","3.3475","3.2685","-2.06%"
"Jan 14","3.3465","3.2785","3.3480","3.2505","2.07%"
"Dec 13","3.2785","3.2285","3.2995","3.1980","1.67%"
"Nov 13","3.2245","3.1615","3.2395","3.1615","2.15%"
"Oct 13","3.1565","3.2595","3.2605","3.1235","-3.12%"
"Sep 13","3.2580","3.2890","3.3320","3.1465","-0.87%"
"Aug 13","3.2865","3.2435","3.3360","3.2230","1.23%"
"Jul 13","3.2465","3.1615","3.2530","3.1530","2.75%"
"Jun 13","3.1595","3.0935","3.2230","3.0725","1.95%"
"May 13","3.0990","3.0430","3.0990","2.9605","1.86%"
"Apr 13","3.0425","3.0940","3.0990","3.0190","-1.65%"
"Mar 13","3.0935","3.0925","3.1405","3.0870","0.05%"
"Feb 13","3.0920","3.1061","3.1120","3.0831","-0.48%"
"Jan 13","3.1070","3.0635","3.1160","3.0040","1.60%"
"Dec 12","3.0580","3.0400","3.0720","3.0370","0.60%"
"Nov 12","3.0398","3.0467","3.0772","3.0377","-0.20%"
"Oct 12","3.0460","3.0585","3.0840","3.0275","-0.34%"
"Sep 12","3.0565","3.1215","3.1245","3.0365","-2.18%"
"Aug 12","3.1245","3.1215","3.1465","3.0925","0.00%"
"Jul 12","3.1245","3.1665","3.1950","3.1245","-1.45%"
"Jun 12","3.1705","3.1775","3.2075","3.1375","-0.04%"
"May 12","3.1717","3.0286","3.1892","3.0217","4.83%"
"Apr 12","3.0255","3.0573","3.0823","3.0245","-1.18%"
"Mar 12","3.0617","2.9973","3.0913","2.9933","2.21%"
"Feb 12","2.9955","3.0365","3.0645","2.9930","-1.51%"
"Jan 12","3.0415","3.1715","3.1715","3.0335","-4.05%"
"Dec 11","3.1700","3.1715","3.1993","3.1225","-0.27%"
"Nov 11","3.1785","3.0765","3.1995","3.0765","3.60%"
"Oct 11","3.0680","3.1960","3.2140","3.0420","-3.78%"
"Sep 11","3.1885","2.9895","3.1938","2.9615","6.89%"
"Aug 11","2.9830","2.9620","3.0490","2.9345","0.59%"
"Jul 11","2.9655","3.0195","3.0375","2.9335","-1.79%"
"Jun 11","3.0195","3.0115","3.0635","2.9915","0.30%"
"May 11","3.0105","2.9635","3.0705","2.9635","1.62%"
"Apr 11","2.9625","3.0280","3.0365","2.9605","-2.11%"
"Mar 11","3.0265","3.0495","3.0705","3.0215","-0.79%"
"Feb 11","3.0505","3.0595","3.0703","3.0235","-0.36%"
"Jan 11","3.0615","3.0795","3.0845","3.0510","-0.71%"
"Dec 10","3.0835","3.1645","3.1696","3.0795","-2.65%"
"Nov 10","3.1675","3.1055","3.1695","3.0805","1.82%"
"Oct 10","3.1110","3.0870","3.1380","3.0800","0.77%"
"Sep 10","3.0871","3.1471","3.1471","3.0810","-2.00%"
"Aug 10","3.1500","3.1810","3.1910","3.1235","-1.06%"
"Jul 10","3.1837","3.2412","3.2612","3.1753","-1.86%"
"Jun 10","3.2440","3.2670","3.3375","3.1800","-0.54%"
"May 10","3.2615","3.1915","3.3665","3.1805","2.39%"
"Apr 10","3.1855","3.2620","3.2730","3.1720","-2.33%"
"Mar 10","3.2615","3.3975","3.3995","3.2570","-4.15%"
"Feb 10","3.4028","3.4158","3.4537","3.3838","-0.35%"
"Jan 10","3.4148","3.4188","3.4318","3.3289","-0.27%"
"Dec 09","3.4240","3.3950","3.4430","3.3700","0.86%"
"Nov 09","3.3948","3.4188","3.4358","3.3518","-0.52%"
"Oct 09","3.4125","3.4605","3.4845","3.3450","-1.40%"
"Sep 09","3.4610","3.5250","3.5470","3.4590","-1.72%"
"Aug 09","3.5215","3.5175","3.5475","3.4835","-0.03%"
"Jul 09","3.5225","3.5205","3.6020","3.5065","0.21%"
"Jun 09","3.5150","3.4820","3.5570","3.4690","0.79%"
"May 09","3.4875","3.5625","3.5765","3.4725","-2.04%"
"Apr 09","3.5600","3.6510","3.6570","3.5480","-2.35%"
"Mar 09","3.6455","3.7125","3.7395","3.6095","-1.67%"
"Feb 09","3.7075","3.6125","3.7075","3.5775","2.77%"
"Jan 09","3.6075","3.4575","3.6275","3.4575","4.49%"
"Dec 08","3.4525","3.6230","3.6440","3.4525","-4.72%"
"Nov 08","3.6235","3.5475","3.6320","3.5075","2.04%"
"Oct 08","3.5510","3.4445","3.6005","3.4445","3.15%"
"Sep 08","3.4425","3.3975","3.4745","3.3905","1.44%"
"Aug 08","3.3935","3.2585","3.3995","3.2585","4.22%"
"Jul 08","3.2560","3.2645","3.2785","3.2125","-0.35%"
"Jun 08","3.2675","3.2385","3.2810","3.2125","0.85%"
"May 08","3.2400","3.1585","3.2780","3.1455","2.56%"
"Apr 08","3.1590","3.1910","3.2008","3.1290","-1.23%"
"Mar 08","3.1985","3.2005","3.2185","3.1515","0.13%"
"Feb 08","3.1945","3.2350","3.2470","3.1850","-1.27%"
"Jan 08","3.2355","3.3065","3.3135","3.2285","-2.16%"
"Dec 07","3.3070","3.3570","3.3640","3.3020","-1.71%"
"Nov 07","3.3645","3.3335","3.3955","3.3185","0.88%"
"Oct 07","3.3350","3.4040","3.4260","3.3350","-2.13%"
"Sep 07","3.4075","3.5015","3.5215","3.4055","-2.68%"
"Aug 07","3.5015","3.4565","3.5245","3.4465","1.36%"
"Jul 07","3.4545","3.4505","3.4725","3.3985","0.06%"
"Jun 07","3.4525","3.3995","3.4925","3.3915","1.59%"
"May 07","3.3985","3.4245","3.4260","3.3815","-0.69%"
"Apr 07","3.4220","3.4560","3.4670","3.4190","-1.03%"
"Mar 07","3.4575","3.5035","3.5200","3.4480","-1.30%"
"Feb 07","3.5030","3.5020","3.5110","3.4910","0.07%"
"Jan 07","3.5005","3.5255","3.5255","3.4975","-0.84%"
"Dec 06","3.5300","3.6160","3.6160","3.5230","-2.43%"
